ATGC#,genomes,numgenomes,superkingdom,phylum,order,commontaxa,COGorgs,mediandnmin,mediandnmax,mediandsmin,mediandsmax,mediandndsmin,mediandndsmax,genomesizemin,genomesizemax,genomesizeavg,numgenesmin,numgenesmax,numgenesavg,gcmin,gcmax,gcavg
ATGC001,Salmonella/Escherichia/Enterobacter/Shigella/Cronobacter/Citrobacter/Klebsiella/Siccibacter,432,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[91347] {order} Enterobacteriales,[543] {family} Enterobacteriaceae,Citkos;Crotur;Entclo;Escc01;Esccol;Salent,0.0,0.1,0.0,2.0,0.0,2.8,4.0,5.9,4.9,3713,5833,4595,49.7,57.8,51.9
ATGC002,Klebsiella/Enterobacter,73,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[91347] {order} Enterobacteriales,[543] {family} Enterobacteriaceae,Klepne,0.0,0.0,0.0,1.1,0.0,1.3,5.1,7.2,5.7,4621,6631,5376,54.7,58.0,56.8
ATGC003,Streptococcus pneumoniae/mitis/pseudopneumoniae/oralis/VT,37,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1301] {genus} Streptococcus,Strpne,0.0,0.0,0.0,0.7,0.0,1.1,1.9,2.3,2.1,1785,2258,2060,39.5,41.1,39.8
ATGC004,Streptococcus pyogenes/dysgalactiae,53,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1301] {genus} Streptococcus,Strpyo,0.0,0.0,0.0,0.9,0.1,1.7,1.7,2.2,1.9,1527,1965,1711,38.2,39.6,38.6
ATGC005,Streptococcus suis,22,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1307] {species} Streptococcus suis,,0.0,0.0,0.0,0.1,0.1,0.6,2.0,2.3,2.1,1833,2163,1961,41.0,41.4,41.2
ATGC006,Streptococcus agalactiae,22,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1311] {species} Streptococcus agalactiae,,0.0,0.0,0.0,0.0,0.1,1.1,1.8,2.2,2.1,1646,2127,1982,35.4,35.9,35.6
ATGC007,Lactococcus lactis,14,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1358] {species} Lactococcus lactis,Laclac,0.0,0.0,0.0,1.1,0.0,0.7,2.4,2.6,2.5,2178,2448,2332,34.9,35.9,35.4
ATGC008,Streptococcus thermophilus/salivarius,15,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1301] {genus} Streptococcus,,0.0,0.0,0.0,0.5,0.1,0.6,1.8,2.2,2.0,1679,1932,1786,38.9,40.2,39.4
ATGC009,Streptococcus gallolyticus/infantarius/pasteurianus/macedonicus/lutetiensis,9,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1301] {genus} Streptococcus,,0.0,0.0,0.0,1.5,0.0,0.4,1.8,2.4,2.1,1616,2224,1916,37.4,37.7,37.6
ATGC010,Streptococcus mutans,6,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1309] {species} Streptococcus mutans,,0.0,0.0,0.0,0.0,0.3,0.7,2.0,2.0,2.0,1820,1960,1869,36.8,37.1,36.9
ATGC011,Streptococcus equi,5,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1336] {species} Streptococcus equi,,0.0,0.0,0.0,0.1,0.1,0.3,2.0,2.3,2.1,1749,2000,1872,41.3,41.8,41.6
ATGC012,Lactococcus garvieae,2,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1363] {species} Lactococcus garvieae,,0.0,0.0,0.0,0.0,undetermined,undetermined,2.0,2.0,2.0,1885,1895,1890,38.8,38.8,38.8
ATGC013,Streptococcus I/parasanguinis/A12,5,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1301] {genus} Streptococcus,,0.0,0.1,0.1,2.1,0.0,0.1,1.9,2.2,2.0,1720,1949,1840,41.6,42.2,41.9
ATGC014,Bacillus thuringiensis/anthracis/cereus/weihenstephanensis/toyonensis/mycoides/bombysepticus,95,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[1386] {genus} Bacillus,Bacant;Bacthu,0.0,0.0,0.0,0.5,0.1,2.5,5.0,6.9,5.7,4872,6556,5640,34.8,35.6,35.2
ATGC015,Bacillus subtilis/amyloliquefaciens/velezensis/atrophaeus/sp/Pc3/YP1/SDLI1/JS/BH072/LM,77,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[1386] {genus} Bacillus,Bacsub,0.0,0.1,0.0,1.9,0.1,1.5,3.9,4.3,4.1,3572,4286,3875,43.2,46.7,45.0
ATGC016,Geobacillus thermoleovorans/kaustophilus/LC300/subterraneus/Y412MC61/JS12/thermodenitrificans/JF8/C56/stearothermophilus/Y412MC52/GHH01/12AMOR1,14,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[129337] {genus} Geobacillus,Geothe,0.0,0.1,0.0,0.8,0.1,0.2,3.4,3.7,3.6,2912,3400,3267,48.9,52.8,52.1
ATGC017,Geobacillus thermoglucosidasius/Y4,3,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[129337] {genus} Geobacillus,,0.0,0.0,0.0,0.0,0.4,0.4,3.9,4.0,3.9,3577,3717,3650,43.9,44.0,43.9
